x,y,z,yaw,index
-3.803, -0.024, -0.545, 1.45, 3
-3.845, 0.707, -0.483, -0.721, 4
-3.712, 0.679, 0.072, -0.107, 5
-3.761, 1.3, -0.169, -0.158, 6
-3.715, -0.536, 0.026, 1.414, 2
-3.764, -0.023, -0.541, 1.562, 3
-3.862, 0.71, -0.487, -0.675, 4
-3.706, 0.677, 0.07, -0.098, 5
-3.742, 1.293, -0.17, -0.193, 6
-3.724, -0.536, 0.026, 1.285, 2
-3.789, -0.024, -0.546, 1.534, 3
-3.813, 0.701, -0.481, -0.702, 4
-3.7, 0.676, 0.069, -0.093, 5
-3.727, 1.288, -0.17, -0.196, 6
-3.729, -1.539, 0.018, 0.256, 0
-3.859, -1.012, -0.531, 1.044, 1
-3.695, -0.532, 0.026, 1.196, 2
-3.779, -0.023, -0.544, 1.489, 3
-3.807, 0.701, -0.48, 1.199, 4
-3.72, 0.681, 0.071, -0.0, 5
-3.784, 1.308, -0.171, -0.14, 6
-3.796, -1.565, 0.02, 0.397, 0
-3.841, -1.006, -0.525, 1.09, 1
-3.721, -0.535, 0.029, 1.205, 2
-3.873, -0.023, -0.555, 1.062, 3
-3.817, 0.703, -0.478, -0.694, 4
-3.752, 0.687, 0.074, -0.119, 5
-3.794, 1.312, -0.169, -0.135, 6
-3.874, -1.013, -0.527, 0.823, 1
-3.775, -0.541, 0.033, 0.17, 2
-3.826, -0.021, -0.544, 1.496, 3
-3.788, 0.699, -0.47, 1.238, 4
-3.696, 0.678, 0.077, 0.072, 5
-3.756, 1.3, -0.163, -0.184, 6
-3.723, -1.533, 0.026, 0.435, 0
-3.875, -1.012, -0.522, 0.749, 1
-3.727, -0.534, 0.036, 0.208, 2
-3.818, -0.02, -0.54, 1.537, 3
-3.795, 0.701, -0.468, -0.644, 4
-3.706, 0.681, 0.08, 1.476, 5
-3.768, 1.304, -0.161, -0.172, 6
-3.819, -1.571, 0.028, 0.426, 0
-3.843, -1.004, -0.517, 0.62, 1
-3.703, -0.531, 0.037, 0.584, 2
-3.804, -0.02, -0.536, 1.514, 3
-3.835, 0.709, -0.471, -0.708, 4
-3.728, 0.685, 0.082, -0.297, 5
-3.805, 1.317, -0.16, -0.128, 6
-3.835, -1.578, 0.03, -0.371, 0
-3.83, -1.001, -0.514, 0.711, 1
-3.685, -0.528, 0.037, 0.61, 2
-3.831, -0.02, -0.54, 1.509, 3
-3.845, 0.711, -0.472, -0.682, 4
-3.735, 0.687, 0.082, -0.265, 5
-3.802, 1.316, -0.161, -0.139, 6
-3.75, -0.538, 0.042, 0.788, 2
-3.864, -0.023, -0.542, 1.551, 3
-3.75, 0.691, -0.46, 1.106, 4
-3.684, 0.676, 0.083, 0.044, 5
-3.723, 1.287, -0.157, -0.18, 6
-3.878, -1.017, -0.509, 0.987, 1
-3.744, -0.538, 0.049, 1.098, 2
-3.754, -0.023, -0.52, 1.497, 3
-3.812, 0.7, -0.462, -0.632, 4
-3.731, 0.684, 0.089, 0.0, 5
-3.813, 1.317, -0.156, -0.12, 6
-3.848, -1.586, 0.052, 0.472, 0
-3.878, -1.017, -0.5, 0.93, 1
-3.748, -0.539, 0.056, 1.202, 2
-3.761, -0.024, -0.515, 1.497, 3
-3.817, 0.7, -0.457, -0.617, 4
